2019-10-21 11:48:15.959 INFO	c.t.a.f.f.r.a.FileDatasetBuilder:165	 ADF Selected; adf type ([ENVISAT_PROCESSOR_CONFIG]), file type (PROCESSOR_CONFIG), filename  (/media/fast_data/fast_test_data/data/aatsr/adf/ATS_PC1_AXVIEC20120618_154211_20101022_000000_20200101_000000)	
2019-10-21 11:48:29.886 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 23.21656707562438 longitude 90.22758605104022	
2019-10-21 11:48:29.887 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 23.142789550628535 longitude 90.29237823290647	
2019-10-21 11:48:29.888 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1177 latitude 23.066796108692117 longitude 90.35536326546853	
2019-10-21 11:48:29.889 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 22.988625097572424 longitude 90.41645367210492	
2019-10-21 11:48:29.889 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1180 latitude 22.908285341664204 longitude 90.47561142922383	
2019-10-21 11:48:29.890 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1178 latitude 22.825803477094492 longitude 90.53277137791314	
2019-10-21 11:48:29.890 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1181 latitude 22.741156216228422 longitude 90.58794084727958	
2019-10-21 11:48:29.891 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 22.706732919796988 longitude 90.60938611200038	
2019-10-21 11:48:29.892 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1223 latitude 16.96702482631413 longitude 89.19742967078248	
2019-10-21 11:48:29.893 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1220 latitude 16.888841280901836 longitude 89.07565489553635	
2019-10-21 11:48:29.893 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1222 latitude 16.815120457251865 longitude 88.95108370686332	
2019-10-21 11:48:29.894 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1223 latitude 16.746047317933986 longitude 88.82387879903919	
2019-10-21 11:48:29.895 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1224 latitude 16.68180862263395 longitude 88.69421238409305	
2019-10-21 11:48:29.896 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1222 latitude 16.622602485684364 longitude 88.56226642567671	
2019-10-21 11:48:29.896 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1225 latitude 16.568577137387848 longitude 88.42823394659142	
2019-10-21 11:48:29.897 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1223 latitude 16.519907978175315 longitude 88.29231635120725	
2019-10-21 11:48:29.897 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1226 latitude 16.476759940388725 longitude 88.15472482115761	
2019-10-21 11:48:29.898 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1224 latitude 16.439261499906543 longitude 88.01567852018441	
2019-10-21 11:48:29.899 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 16.407528600463262 longitude 87.87540349098582	
2019-10-21 11:48:29.899 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1225 latitude 16.381700892128737 longitude 87.73413500113226	
2019-10-21 11:48:29.900 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1228 latitude 16.361853569322214 longitude 87.59211117438922	
2019-10-21 11:48:29.900 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1226 latitude 16.348096397586005 longitude 87.44957953461709	
2019-10-21 11:48:29.901 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1228 latitude 16.34047350316918 longitude 87.30678698918469	
2019-10-21 11:48:29.901 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1229 latitude 16.339062511881142 longitude 87.16398965871937	
2019-10-21 11:48:29.902 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 16.343883114031616 longitude 87.02144084674805	
2019-10-21 11:48:29.902 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1229 latitude 16.354948781646343 longitude 86.87939612467508	
2019-10-21 11:48:29.903 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 16.372276212562817 longitude 86.73811518131001	
2019-10-21 11:48:29.904 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1229 latitude 16.395825208031663 longitude 86.59784933075437	
2019-10-21 11:48:29.904 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 16.4255845273803 longitude 86.45885743886595	
2019-10-21 11:48:29.905 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1229 latitude 16.461488464550648 longitude 86.32138758708187	
2019-10-21 11:48:29.906 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 16.503452248218977 longitude 86.18568237283937	
2019-10-21 11:48:29.906 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1229 latitude 16.551411116039176 longitude 86.05198903300571	
2019-10-21 11:48:29.907 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 16.605238382686114 longitude 85.9205362220256	
2019-10-21 11:48:29.908 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1229 latitude 16.664828354002182 longitude 85.79155602405677	
2019-10-21 11:48:29.909 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 16.730034754615467 longitude 85.66526481866518	
2019-10-21 11:48:29.910 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1228 latitude 16.80070389098315 longitude 85.54187198273517	
2019-10-21 11:48:29.910 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1226 latitude 16.87668695733236 longitude 85.42158422885991	
2019-10-21 11:48:29.911 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1228 latitude 16.95779308011506 longitude 85.30458727746871	
2019-10-21 11:48:29.912 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1225 latitude 17.04383221177707 longitude 85.1910602455485	
2019-10-21 11:48:29.912 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1227 latitude 17.134603813420764 longitude 85.08117083886339	
2019-10-21 11:48:29.913 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1224 latitude 17.229897638855874 longitude 84.97507479421263	
2019-10-21 11:48:29.914 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1226 latitude 17.329506159603547 longitude 84.87292103273393	
2019-10-21 11:48:29.915 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1223 latitude 17.433181256091768 longitude 84.77482996049022	
2019-10-21 11:48:29.915 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1225 latitude 17.540713740271148 longitude 84.68093132311184	
2019-10-21 11:48:29.916 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1222 latitude 17.651855876892665 longitude 84.59132554135634	
2019-10-21 11:48:29.917 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1224 latitude 17.766367809753113 longitude 84.50610607495786	
2019-10-21 11:48:29.917 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1221 latitude 17.884006961772588 longitude 84.42535378379124	
2019-10-21 11:48:29.918 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1222 latitude 18.004539536329375 longitude 84.34914354389961	
2019-10-21 11:48:29.933 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1181 latitude 23.668318576238548 longitude 85.68423633668277	
2019-10-21 11:48:29.933 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1182 latitude 23.722854805142255 longitude 85.77381394903739	
2019-10-21 11:48:29.934 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 23.77468350447891 longitude 85.86448932448079	
2019-10-21 11:48:29.934 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1181 latitude 23.82384476405533 longitude 85.95650654890713	
2019-10-21 11:48:29.934 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1178 latitude 23.87014410845954 longitude 86.04846046001381	
2019-10-21 11:48:29.935 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1180 latitude 23.913762907034656 longitude 86.14148100010587	
2019-10-21 11:48:29.935 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1178 latitude 23.9546800658131 longitude 86.23539863863641	
2019-10-21 11:48:29.936 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1179 latitude 23.992810375504938 longitude 86.3292374903318	
2019-10-21 11:48:29.936 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1177 latitude 24.028246260369524 longitude 86.42371253339059	
2019-10-21 11:48:29.937 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1178 latitude 24.061000140579498 longitude 86.51893738520187	
2019-10-21 11:48:29.937 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1176 latitude 24.09104925505648 longitude 86.61445384537087	
2019-10-21 11:48:29.938 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1178 latitude 24.118405124144736 longitude 86.71016534996433	
2019-10-21 11:48:29.938 INFO	c.t.a.f.s.f.g.p.GeolocationProcessor:891	 IG Input 1175 latitude 24.143083277348474 longitude 86.80606937505404	
